merchant,ramp_category,coded_lines,top_gl,top_acct,agreement_pct,manual_top_gl,manual_lines
Insomnia Cookies,Restaurants,3,Client Presentation,6800.10,67,Meals,1
Original ChopShop,Restaurants,3,Client Presentation,6800.10,100,(none manual),0
Red Robin,Restaurants,3,Client Presentation,6800.10,100,(none manual),0
Maverik,Fuel and Gas,3,Gas,6200.12,100,(none manual),0
Lenny's Sub Shop,Restaurants,3,Client Presentation,6800.10,100,(none manual),0
Donut World,Supermarkets and Grocery Stores,3,Client Presentation,6800.10,67,Meals,1
Domino's Pizza,Restaurants,3,Client Presentation,6800.10,67,Employee Appreciation,1
Portofino's Italian Restaurant,Restaurants,3,Meals,6800.20,67,Meals,2
Nayax,Parking,3,Parking/Tolls,6200.13,67,Parking/Tolls,2
Mellow Mushroom,Restaurants,3,Client Presentation,6800.10,67,Meals,1
Hudson News,Books and Newspapers,3,Meals,6800.20,67,Meals,2
Pittsburgh,Supermarkets and Grocery Stores,3,Meals,6800.20,100,Meals,3
Pharmacy Technician Certification Board,Education,3,Employee Certification/Accreditation,6500.60,100,Employee Certification/Accreditation,3
Ab Petroleum,Fuel and Gas,3,Gas,6200.12,100,(none manual),0
Google Cloud,Professional Services,3,Software Support Fees,6200.97,100,Software Support Fees,3
King Soopers,Fuel and Gas,3,Gas,6200.12,67,Gas,2
Amazon Web Services,Office,3,Software Support Fees,6200.97,100,Software Support Fees,3
Amerisource Receivables,Medical,3,Commercial Rx Inventory,1220.05,33,Commercial Rx Inventory,1
Carolina Ale House,Restaurants,3,Meals,6800.20,67,Meals,2
Allianz Travel Insurance,Insurance,3,Airfare/Transportation,6830.05,100,Airfare/Transportation,3
Roosters,Restaurants,3,Sales & Marketing - Other,6800.30,67,Sales & Marketing - Other,2
Einsteinbros_Mobile Restaurant,Restaurants,3,Meals,6800.20,100,Meals,3
