phrase,qb_acctnum,gl_account,confidence,examples
small1000,135,Inventory Asset:Lab Supplies Inventory,1,5
grade exam,135,Inventory Asset:Lab Supplies Inventory,1,5
exam powder,135,Inventory Asset:Lab Supplies Inventory,1,5
gloves small1000,135,Inventory Asset:Lab Supplies Inventory,1,5
small1000 includes,135,Inventory Asset:Lab Supplies Inventory,1,5
puffiness includes,133,Inventory Asset:Compound Ingredient Inventory,0.8,5
gloves powder,135,Inventory Asset:Lab Supplies Inventory,1,5
pin,215,General & Administrative -:Office Supplies,0.8,5
mop pads,214,General & Administrative -:Office Expense,1,5
compact,205,General & Administrative -:Computer Supplies & Equipment,1,5
letter,214,General & Administrative -:Office Expense,0.6,5
toddlers,134,Inventory Asset:Compound Packaging Inventory,0.8,5
laboratories,169,Cost of Goods Sold:Lab Supplies,1,5
classrooms,169,Cost of Goods Sold:Lab Supplies,0.8,5
lab beaker,169,Cost of Goods Sold:Lab Supplies,1,5
high borosilicate,169,Cost of Goods Sold:Lab Supplies,1,5
organization includes,214,General & Administrative -:Office Expense,0.8,5
onilab,135,Inventory Asset:Lab Supplies Inventory,0.6,5
binder,215,General & Administrative -:Office Supplies,1,5
water bottle,215,General & Administrative -:Office Supplies,0.6,5
cleaning solution,215,General & Administrative -:Office Supplies,0.6,5
ender ender,362,5000.50 Cost of Goods Sold:Research & Development Costs,0.6,5
powered,205,General & Administrative -:Computer Supplies & Equipment,1,5
bags includes,214,General & Administrative -:Office Expense,0.6,5
gigabit,205,General & Administrative -:Computer Supplies & Equipment,1,5
mighty,214,General & Administrative -:Office Expense,1,5
tuff,214,General & Administrative -:Office Expense,1,5
jumbo,214,General & Administrative -:Office Expense,1,5
opening,214,General & Administrative -:Office Expense,1,5
stack,214,General & Administrative -:Office Expense,1,5
mighty tuff,214,General & Administrative -:Office Expense,1,5
tuff jumbo,214,General & Administrative -:Office Expense,1,5
jumbo stackable,214,General & Administrative -:Office Expense,1,5
bins easy,214,General & Administrative -:Office Expense,1,5
access storage,214,General & Administrative -:Office Expense,1,5
storage easy,214,General & Administrative -:Office Expense,1,5
easy grip,214,General & Administrative -:Office Expense,1,5
grip handles,214,General & Administrative -:Office Expense,1,5
handles wide,214,General & Administrative -:Office Expense,1,5
wide front,214,General & Administrative -:Office Expense,1,5
front opening,214,General & Administrative -:Office Expense,1,5
opening interlocking,214,General & Administrative -:Office Expense,1,5
interlocking stack,214,General & Administrative -:Office Expense,1,5
stack vertically,214,General & Administrative -:Office Expense,1,5
plate magnet,169,Cost of Goods Sold:Lab Supplies,1,5
earthox sterile,169,Cost of Goods Sold:Lab Supplies,0.6,5
sterile pipette,169,Cost of Goods Sold:Lab Supplies,0.6,5
tips tips,169,Cost of Goods Sold:Lab Supplies,0.6,5
slot,176,Cost of Goods Sold:Research & Development Costs,0.8,5
bins includes,214,General & Administrative -:Office Expense,0.6,5
glass graduated,169,Cost of Goods Sold:Lab Supplies,1,5
texas,214,General & Administrative -:Office Expense,0.75,4
location,214,General & Administrative -:Office Expense,1,4
lab beakers,169,Cost of Goods Sold:Lab Supplies,1,4
renewed,213,General & Administrative -:Non-Capital Lab Equipment,0.75,4
temp,135,Inventory Asset:Lab Supplies Inventory,1,4
tape waterproof,135,Inventory Asset:Lab Supplies Inventory,1,4
high temp,135,Inventory Asset:Lab Supplies Inventory,1,4
minor,133,Inventory Asset:Compound Ingredient Inventory,1,4
cuts,133,Inventory Asset:Compound Ingredient Inventory,1,4
minor cuts,133,Inventory Asset:Compound Ingredient Inventory,1,4
wipes,214,General & Administrative -:Office Expense,1,4
pods,214,General & Administrative -:Office Expense,0.75,4
petroleum,133,Inventory Asset:Compound Ingredient Inventory,1,4
jelly,133,Inventory Asset:Compound Ingredient Inventory,1,4
petroleum jelly,133,Inventory Asset:Compound Ingredient Inventory,1,4
paraben,133,Inventory Asset:Compound Ingredient Inventory,1,4
dye,133,Inventory Asset:Compound Ingredient Inventory,1,4
cerave baby,133,Inventory Asset:Compound Ingredient Inventory,1,4
lanolin includes,133,Inventory Asset:Compound Ingredient Inventory,1,4
ruled,215,General & Administrative -:Office Supplies,0.75,4
lined,215,General & Administrative -:Office Supplies,0.75,4
basics narrow,215,General & Administrative -:Office Supplies,0.75,4
narrow ruled,215,General & Administrative -:Office Supplies,0.75,4
ruled lined,215,General & Administrative -:Office Supplies,0.75,4
lined writing,215,General & Administrative -:Office Supplies,0.75,4
writing note,215,General & Administrative -:Office Supplies,0.75,4
surface includes,214,General & Administrative -:Office Expense,1,4
dish soap,215,General & Administrative -:Office Supplies,0.75,4
marissa,258,Sales & Marketing -:Sales & Marketing - Other,1,4
dickie,258,Sales & Marketing -:Sales & Marketing - Other,1,4
marissa dickie,258,Sales & Marketing -:Sales & Marketing - Other,1,4
dickie amazon,258,Sales & Marketing -:Sales & Marketing - Other,1,4
amazon office,258,Sales & Marketing -:Sales & Marketing - Other,1,4
label printer,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
rj45,205,General & Administrative -:Computer Supplies & Equipment,1,4
maker,134,Inventory Asset:Compound Packaging Inventory,0.75,4
label maker,134,Inventory Asset:Compound Packaging Inventory,0.75,4
thermometer,169,Cost of Goods Sold:Lab Supplies,1,4
temperature,169,Cost of Goods Sold:Lab Supplies,0.75,4
mixing bowls,169,Cost of Goods Sold:Lab Supplies,0.75,4
bowls hobart,169,Cost of Goods Sold:Lab Supplies,0.75,4
reclosable gallon,214,General & Administrative -:Office Expense,0.75,4
gallon food,214,General & Administrative -:Office Expense,0.75,4
bags double,214,General & Administrative -:Office Expense,0.75,4
double zipper,214,General & Administrative -:Office Expense,0.75,4
zipper seal,214,General & Administrative -:Office Expense,0.75,4
rolls includes,169,Cost of Goods Sold:Lab Supplies,1,4
link,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
media,205,General & Administrative -:Computer Supplies & Equipment,1,4
optical,205,General & Administrative -:Computer Supplies & Equipment,1,4
gpi,214,General & Administrative -:Office Expense,0.75,4
baggies,214,General & Administrative -:Office Expense,0.75,4
zip bags,214,General & Administrative -:Office Expense,0.75,4
bags bulk,214,General & Administrative -:Office Expense,0.75,4
bulk gpi,214,General & Administrative -:Office Expense,0.75,4
gpi case,214,General & Administrative -:Office Expense,0.75,4
case mil,214,General & Administrative -:Office Expense,0.75,4
mil thick,214,General & Administrative -:Office Expense,0.75,4
thick strong,214,General & Administrative -:Office Expense,0.75,4
strong durable,214,General & Administrative -:Office Expense,0.75,4
durable poly,214,General & Administrative -:Office Expense,0.75,4
poly baggies,214,General & Administrative -:Office Expense,0.75,4
baggies resealable,214,General & Administrative -:Office Expense,0.75,4
resealable zip,214,General & Administrative -:Office Expense,0.75,4
zip top,214,General & Administrative -:Office Expense,0.75,4
top lock,214,General & Administrative -:Office Expense,0.75,4
lock travel,214,General & Administrative -:Office Expense,0.75,4
travel storage,214,General & Administrative -:Office Expense,0.75,4
storage packaging,214,General & Administrative -:Office Expense,0.75,4
packaging shipping,214,General & Administrative -:Office Expense,0.75,4
shipping includes,214,General & Administrative -:Office Expense,0.75,4
monitor stand,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
nuanchu,134,Inventory Asset:Compound Packaging Inventory,1,4
wand,134,Inventory Asset:Compound Packaging Inventory,1,4
inserts,134,Inventory Asset:Compound Packaging Inventory,1,4
refillable balm,134,Inventory Asset:Compound Packaging Inventory,1,4
containers bottles,134,Inventory Asset:Compound Packaging Inventory,1,4
gloss containers,134,Inventory Asset:Compound Packaging Inventory,1,4
wand rubber,134,Inventory Asset:Compound Packaging Inventory,1,4
rubber inserts,134,Inventory Asset:Compound Packaging Inventory,1,4
diy makeup,134,Inventory Asset:Compound Packaging Inventory,1,4
wastebasket,214,General & Administrative -:Office Expense,0.75,4
zenihol,134,Inventory Asset:Compound Packaging Inventory,0.75,4
lipstick,134,Inventory Asset:Compound Packaging Inventory,0.75,4
zenihol empty,134,Inventory Asset:Compound Packaging Inventory,0.75,4
tubes diy,134,Inventory Asset:Compound Packaging Inventory,0.75,4
diy lipstick,134,Inventory Asset:Compound Packaging Inventory,0.75,4
lipstick leak,134,Inventory Asset:Compound Packaging Inventory,0.75,4
proof caps,134,Inventory Asset:Compound Packaging Inventory,0.75,4
caps lip,134,Inventory Asset:Compound Packaging Inventory,0.75,4
making,133,Inventory Asset:Compound Ingredient Inventory,1,4
sanitizer,214,General & Administrative -:Office Expense,0.75,4
without,133,Inventory Asset:Compound Ingredient Inventory,0.75,4
cream pump,133,Inventory Asset:Compound Ingredient Inventory,1,4
pump dispenser,133,Inventory Asset:Compound Ingredient Inventory,1,4
yalomi,134,Inventory Asset:Compound Packaging Inventory,1,4
slip syringe,134,Inventory Asset:Compound Packaging Inventory,1,4
syringe needle,134,Inventory Asset:Compound Packaging Inventory,1,4
wrapped professional,134,Inventory Asset:Compound Packaging Inventory,1,4
professional industrial,134,Inventory Asset:Compound Packaging Inventory,1,4
industrial personal,134,Inventory Asset:Compound Packaging Inventory,1,4
personal use,134,Inventory Asset:Compound Packaging Inventory,1,4
use yalomi,134,Inventory Asset:Compound Packaging Inventory,1,4
shoes includes,135,Inventory Asset:Lab Supplies Inventory,1,4
cork,215,General & Administrative -:Office Supplies,1,4
spatulas non,169,Cost of Goods Sold:Lab Supplies,1,4
core heat,169,Cost of Goods Sold:Lab Supplies,1,4
food grade,169,Cost of Goods Sold:Lab Supplies,1,4
dishwasher safe,169,Cost of Goods Sold:Lab Supplies,1,4
safe mixing,169,Cost of Goods Sold:Lab Supplies,1,4
mixing cooking,169,Cost of Goods Sold:Lab Supplies,1,4
devices,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
mooliwe,135,Inventory Asset:Lab Supplies Inventory,1,4
mooliwe cellulose,135,Inventory Asset:Lab Supplies Inventory,1,4
sheet laboratory,135,Inventory Asset:Lab Supplies Inventory,1,4
paper weigh,135,Inventory Asset:Lab Supplies Inventory,1,4
weigh papers,135,Inventory Asset:Lab Supplies Inventory,1,4
papers nitrogen,135,Inventory Asset:Lab Supplies Inventory,1,4
absorbing non,135,Inventory Asset:Lab Supplies Inventory,1,4
stick high,135,Inventory Asset:Lab Supplies Inventory,1,4
oikwan,205,General & Administrative -:Computer Supplies & Equipment,1,4
rs232,205,General & Administrative -:Computer Supplies & Equipment,1,4
ftdi,205,General & Administrative -:Computer Supplies & Equipment,1,4
chipset,205,General & Administrative -:Computer Supplies & Equipment,1,4
db9,205,General & Administrative -:Computer Supplies & Equipment,1,4
vista,205,General & Administrative -:Computer Supplies & Equipment,1,4
oikwan usb,205,General & Administrative -:Computer Supplies & Equipment,1,4
usb rs232,205,General & Administrative -:Computer Supplies & Equipment,1,4
rs232 usb,205,General & Administrative -:Computer Supplies & Equipment,1,4
usb serial,205,General & Administrative -:Computer Supplies & Equipment,1,4
serial adapter,205,General & Administrative -:Computer Supplies & Equipment,1,4
adapter ftdi,205,General & Administrative -:Computer Supplies & Equipment,1,4
ftdi chipset,205,General & Administrative -:Computer Supplies & Equipment,1,4
chipset usb,205,General & Administrative -:Computer Supplies & Equipment,1,4
usb male,205,General & Administrative -:Computer Supplies & Equipment,1,4
male db9,205,General & Administrative -:Computer Supplies & Equipment,1,4
db9 serial,205,General & Administrative -:Computer Supplies & Equipment,1,4
serial cable,205,General & Administrative -:Computer Supplies & Equipment,1,4
cable windows,205,General & Administrative -:Computer Supplies & Equipment,1,4
windows vista,205,General & Administrative -:Computer Supplies & Equipment,1,4
vista linux,205,General & Administrative -:Computer Supplies & Equipment,1,4
linux mac,205,General & Administrative -:Computer Supplies & Equipment,1,4
mac 6ft,205,General & Administrative -:Computer Supplies & Equipment,1,4
physicianscare,169,Cost of Goods Sold:Lab Supplies,1,4
isotonic,169,Cost of Goods Sold:Lab Supplies,1,4
buffered,169,Cost of Goods Sold:Lab Supplies,1,4
flushing,169,Cost of Goods Sold:Lab Supplies,1,4
irrigating,169,Cost of Goods Sold:Lab Supplies,1,4
physicianscare eye,169,Cost of Goods Sold:Lab Supplies,1,4
wash solution,169,Cost of Goods Sold:Lab Supplies,1,4
solution sterile,169,Cost of Goods Sold:Lab Supplies,1,4
sterile isotonic,169,Cost of Goods Sold:Lab Supplies,1,4
isotonic buffered,169,Cost of Goods Sold:Lab Supplies,1,4
buffered solution,169,Cost of Goods Sold:Lab Supplies,1,4
solution flushing,169,Cost of Goods Sold:Lab Supplies,1,4
flushing irrigating,169,Cost of Goods Sold:Lab Supplies,1,4
irrigating eyes,169,Cost of Goods Sold:Lab Supplies,1,4
eyes bottle,169,Cost of Goods Sold:Lab Supplies,1,4
drawers,214,General & Administrative -:Office Expense,0.75,4
vanity,214,General & Administrative -:Office Expense,0.75,4
organizer storage,214,General & Administrative -:Office Expense,1,4
home organization,214,General & Administrative -:Office Expense,1,4
bottom,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
locker,212,General & Administrative -:Non-Capital Furniture,0.75,4
trash can,214,General & Administrative -:Office Expense,1,4
head cover,169,Cost of Goods Sold:Lab Supplies,0.75,4
school includes,135,Inventory Asset:Lab Supplies Inventory,1,4
design includes,169,Cost of Goods Sold:Lab Supplies,0.75,4
spice grinder,169,Cost of Goods Sold:Lab Supplies,0.75,4
wet,214,General & Administrative -:Office Expense,1,4
one design,169,Cost of Goods Sold:Lab Supplies,0.75,4
markers fine,215,General & Administrative -:Office Supplies,0.75,4
ports,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
outlets usb,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
usb ports,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
flat plug,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
promotion,361,5000.30 Cost of Goods Sold:Order Discount,1,4
applied,361,5000.30 Cost of Goods Sold:Order Discount,1,4
promotion applied,361,5000.30 Cost of Goods Sold:Order Discount,1,4
boom,205,General & Administrative -:Computer Supplies & Equipment,1,4
noise,205,General & Administrative -:Computer Supplies & Equipment,1,4
cancelling,205,General & Administrative -:Computer Supplies & Equipment,1,4
headphones,205,General & Administrative -:Computer Supplies & Equipment,1,4
ear,205,General & Administrative -:Computer Supplies & Equipment,1,4
works,205,General & Administrative -:Computer Supplies & Equipment,1,4
microsoft,205,General & Administrative -:Computer Supplies & Equipment,1,4
teams,205,General & Administrative -:Computer Supplies & Equipment,1,4
zoom,205,General & Administrative -:Computer Supplies & Equipment,1,4
blackwire wired,205,General & Administrative -:Computer Supplies & Equipment,1,4
wired headset,205,General & Administrative -:Computer Supplies & Equipment,1,4
headset flexible,205,General & Administrative -:Computer Supplies & Equipment,1,4
flexible boom,205,General & Administrative -:Computer Supplies & Equipment,1,4
boom mic,205,General & Administrative -:Computer Supplies & Equipment,1,4
mic noise,205,General & Administrative -:Computer Supplies & Equipment,1,4
noise cancelling,205,General & Administrative -:Computer Supplies & Equipment,1,4
cancelling headphones,205,General & Administrative -:Computer Supplies & Equipment,1,4
headphones mic,205,General & Administrative -:Computer Supplies & Equipment,1,4
mic usb,205,General & Administrative -:Computer Supplies & Equipment,1,4
usb ergonomic,205,General & Administrative -:Computer Supplies & Equipment,1,4
ergonomic over,205,General & Administrative -:Computer Supplies & Equipment,1,4
over ear,205,General & Administrative -:Computer Supplies & Equipment,1,4
ear design,205,General & Administrative -:Computer Supplies & Equipment,1,4
design works,205,General & Administrative -:Computer Supplies & Equipment,1,4
works microsoft,205,General & Administrative -:Computer Supplies & Equipment,1,4
microsoft teams,205,General & Administrative -:Computer Supplies & Equipment,1,4
teams zoom,205,General & Administrative -:Computer Supplies & Equipment,1,4
zoom work,205,General & Administrative -:Computer Supplies & Equipment,1,4
work from,205,General & Administrative -:Computer Supplies & Equipment,1,4
from home,205,General & Administrative -:Computer Supplies & Equipment,1,4
plunger,214,General & Administrative -:Office Expense,1,4
mat,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
battery life,205,General & Administrative -:Computer Supplies & Equipment,1,4
cryoking,135,Inventory Asset:Lab Supplies Inventory,1,4
250pack,135,Inventory Asset:Lab Supplies Inventory,1,4
cryoking weigh,135,Inventory Asset:Lab Supplies Inventory,1,4
boats 250pack,135,Inventory Asset:Lab Supplies Inventory,1,4
250pack square,135,Inventory Asset:Lab Supplies Inventory,1,4
weighing boat,135,Inventory Asset:Lab Supplies Inventory,1,4
boat scale,135,Inventory Asset:Lab Supplies Inventory,1,4
static weight,135,Inventory Asset:Lab Supplies Inventory,1,4
weight dishes,135,Inventory Asset:Lab Supplies Inventory,1,4
dishes mixing,135,Inventory Asset:Lab Supplies Inventory,1,4
mixing powder,135,Inventory Asset:Lab Supplies Inventory,1,4
powder measuring,135,Inventory Asset:Lab Supplies Inventory,1,4
measuring liquid,135,Inventory Asset:Lab Supplies Inventory,1,4
liquid epoxy,135,Inventory Asset:Lab Supplies Inventory,1,4
epoxy sample,135,Inventory Asset:Lab Supplies Inventory,1,4
scoop,135,Inventory Asset:Lab Supplies Inventory,0.75,4
swing,214,General & Administrative -:Office Expense,0.75,4
mk270,205,General & Administrative -:Computer Supplies & Equipment,1,4
mk270 wireless,205,General & Administrative -:Computer Supplies & Equipment,1,4
razor,169,Cost of Goods Sold:Lab Supplies,0.75,4
pound,212,General & Administrative -:Non-Capital Furniture,0.75,4
technician,207,General & Administrative -:Education,1,4
pharmacy technician,207,General & Administrative -:Education,1,4
ptcb,207,General & Administrative -:Education,1,4
griffin,169,Cost of Goods Sold:Lab Supplies,1,4
measuring cup,169,Cost of Goods Sold:Lab Supplies,1,4
laboratories classrooms,169,Cost of Goods Sold:Lab Supplies,1,4
classrooms home,169,Cost of Goods Sold:Lab Supplies,1,4
oral,134,Inventory Asset:Compound Packaging Inventory,1,4
blister,134,Inventory Asset:Compound Packaging Inventory,1,4
packed,134,Inventory Asset:Compound Packaging Inventory,1,4
infants,134,Inventory Asset:Compound Packaging Inventory,1,4
pets,134,Inventory Asset:Compound Packaging Inventory,1,4
oral syringe,134,Inventory Asset:Compound Packaging Inventory,1,4
syringe luer,134,Inventory Asset:Compound Packaging Inventory,1,4
tip needle,134,Inventory Asset:Compound Packaging Inventory,1,4
individually blister,134,Inventory Asset:Compound Packaging Inventory,1,4
blister packed,134,Inventory Asset:Compound Packaging Inventory,1,4
packed medicine,134,Inventory Asset:Compound Packaging Inventory,1,4
medicine administration,134,Inventory Asset:Compound Packaging Inventory,1,4
administration infants,134,Inventory Asset:Compound Packaging Inventory,1,4
infants toddlers,134,Inventory Asset:Compound Packaging Inventory,1,4
toddlers pets,134,Inventory Asset:Compound Packaging Inventory,1,4
relaxweex,169,Cost of Goods Sold:Lab Supplies,1,4
poster,215,General & Administrative -:Office Supplies,0.75,4
fine point,215,General & Administrative -:Office Supplies,0.75,4
nsf,213,General & Administrative -:Non-Capital Lab Equipment,1,4
rubbermaid,214,General & Administrative -:Office Expense,1,4
rubbermaid commercial,214,General & Administrative -:Office Expense,1,4
single,135,Inventory Asset:Lab Supplies Inventory,0.75,4
channel,135,Inventory Asset:Lab Supplies Inventory,0.75,4
manual,135,Inventory Asset:Lab Supplies Inventory,0.75,4
variable,135,Inventory Asset:Lab Supplies Inventory,0.75,4
volume,135,Inventory Asset:Lab Supplies Inventory,0.75,4
pipettes,135,Inventory Asset:Lab Supplies Inventory,0.75,4
high accurate,135,Inventory Asset:Lab Supplies Inventory,0.75,4
accurate single,135,Inventory Asset:Lab Supplies Inventory,0.75,4
single channel,135,Inventory Asset:Lab Supplies Inventory,0.75,4
channel manual,135,Inventory Asset:Lab Supplies Inventory,0.75,4
manual adjustable,135,Inventory Asset:Lab Supplies Inventory,0.75,4
adjustable variable,135,Inventory Asset:Lab Supplies Inventory,0.75,4
variable volume,135,Inventory Asset:Lab Supplies Inventory,0.75,4
volume pipettes,135,Inventory Asset:Lab Supplies Inventory,0.75,4
ring,215,General & Administrative -:Office Supplies,1,4
ring binder,215,General & Administrative -:Office Supplies,1,4
uineko,215,General & Administrative -:Office Supplies,0.75,4
spraying,215,General & Administrative -:Office Supplies,0.75,4
planting,215,General & Administrative -:Office Supplies,0.75,4
nozzle,215,General & Administrative -:Office Supplies,0.75,4
measurements,215,General & Administrative -:Office Supplies,0.75,4
uineko spray,215,General & Administrative -:Office Supplies,0.75,4
spray bottle,215,General & Administrative -:Office Supplies,0.75,4
bottle all,215,General & Administrative -:Office Supplies,0.75,4
purpose heavy,215,General & Administrative -:Office Supplies,0.75,4
duty spraying,215,General & Administrative -:Office Supplies,0.75,4
spraying bottles,215,General & Administrative -:Office Supplies,0.75,4
bottles leak,215,General & Administrative -:Office Supplies,0.75,4
proof mist,215,General & Administrative -:Office Supplies,0.75,4
mist empty,215,General & Administrative -:Office Supplies,0.75,4
empty water,215,General & Administrative -:Office Supplies,0.75,4
bottle cleaning,215,General & Administrative -:Office Supplies,0.75,4
solution planting,215,General & Administrative -:Office Supplies,0.75,4
planting pet,215,General & Administrative -:Office Supplies,0.75,4
pet adjustable,215,General & Administrative -:Office Supplies,0.75,4
adjustable nozzle,215,General & Administrative -:Office Supplies,0.75,4
nozzle measurements,215,General & Administrative -:Office Supplies,0.75,4
hmdzmr,169,Cost of Goods Sold:Lab Supplies,1,4
hmdzmr spoons,169,Cost of Goods Sold:Lab Supplies,1,4
akrobins,214,General & Administrative -:Office Expense,1,4
akrobins storage,214,General & Administrative -:Office Expense,1,4
bins space,214,General & Administrative -:Office Expense,1,4
saving stackable,214,General & Administrative -:Office Expense,1,4
bins garage,214,General & Administrative -:Office Expense,1,4
proof core,134,Inventory Asset:Compound Packaging Inventory,0.75,4
15a,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
esports,205,General & Administrative -:Computer Supplies & Equipment,1,4
irritating,205,General & Administrative -:Computer Supplies & Equipment,1,4
environment,205,General & Administrative -:Computer Supplies & Equipment,1,4
seihoo resin,205,General & Administrative -:Computer Supplies & Equipment,1,4
hard mouse,205,General & Administrative -:Computer Supplies & Equipment,1,4
pad premium,205,General & Administrative -:Computer Supplies & Equipment,1,4
premium esports,205,General & Administrative -:Computer Supplies & Equipment,1,4
esports waterproof,205,General & Administrative -:Computer Supplies & Equipment,1,4
waterproof ultra,205,General & Administrative -:Computer Supplies & Equipment,1,4
ultra smooth,205,General & Administrative -:Computer Supplies & Equipment,1,4
smooth irritating,205,General & Administrative -:Computer Supplies & Equipment,1,4
irritating smell,205,General & Administrative -:Computer Supplies & Equipment,1,4
smell environment,205,General & Administrative -:Computer Supplies & Equipment,1,4
environment fast,205,General & Administrative -:Computer Supplies & Equipment,1,4
fast accurate,205,General & Administrative -:Computer Supplies & Equipment,1,4
accurate control,205,General & Administrative -:Computer Supplies & Equipment,1,4
control office,205,General & Administrative -:Computer Supplies & Equipment,1,4
office gaming,205,General & Administrative -:Computer Supplies & Equipment,1,4
gaming laptop,205,General & Administrative -:Computer Supplies & Equipment,1,4
laptop includes,205,General & Administrative -:Computer Supplies & Equipment,1,4
basics shelf,212,General & Administrative -:Non-Capital Furniture,0.75,4
shelf adjustable,212,General & Administrative -:Non-Capital Furniture,0.75,4
storage shelving,212,General & Administrative -:Non-Capital Furniture,0.75,4
slip non,135,Inventory Asset:Lab Supplies Inventory,1,4
basic,214,General & Administrative -:Office Expense,1,4
easter,214,General & Administrative -:Office Expense,1,4
candy,214,General & Administrative -:Office Expense,1,4
rackmount,205,General & Administrative -:Computer Supplies & Equipment,1,4
mask includes,135,Inventory Asset:Lab Supplies Inventory,1,4
women includes,135,Inventory Asset:Lab Supplies Inventory,0.75,4
swivel,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
ptfe magnetic,169,Cost of Goods Sold:Lab Supplies,1,4
rod,169,Cost of Goods Sold:Lab Supplies,1,4
bar stir,169,Cost of Goods Sold:Lab Supplies,1,4
measuring weighing,135,Inventory Asset:Lab Supplies Inventory,1,4
snagless,205,General & Administrative -:Computer Supplies & Equipment,1,4
cat6,205,General & Administrative -:Computer Supplies & Equipment,1,4
cat ethernet,205,General & Administrative -:Computer Supplies & Equipment,1,4
cable cat6,205,General & Administrative -:Computer Supplies & Equipment,1,4
napkin,214,General & Administrative -:Office Expense,1,4
reel,205,General & Administrative -:Computer Supplies & Equipment,1,4
cord reel,205,General & Administrative -:Computer Supplies & Equipment,1,4
router,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
extrusion,176,Cost of Goods Sold:Research & Development Costs,1,4
cables,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
integrated,205,General & Administrative -:Computer Supplies & Equipment,0.75,4
acoustic,205,General & Administrative -:Computer Supplies & Equipment,1,4
studio,205,General & Administrative -:Computer Supplies & Equipment,1,4
foam panels,205,General & Administrative -:Computer Supplies & Equipment,1,4
panic,215,General & Administrative -:Office Supplies,1,4
omada,205,General & Administrative -:Computer Supplies & Equipment,1,4
gbps,205,General & Administrative -:Computer Supplies & Equipment,1,4
texas location,214,General & Administrative -:Office Expense,1,3
office use,214,General & Administrative -:Office Expense,0.67,3
funnels,169,Cost of Goods Sold:Lab Supplies,1,3
device,215,General & Administrative -:Office Supplies,0.67,3
thin,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
vesa,205,General & Administrative -:Computer Supplies & Equipment,1,3
dispensing,134,Inventory Asset:Compound Packaging Inventory,1,3
reagent,134,Inventory Asset:Compound Packaging Inventory,1,3
oils,134,Inventory Asset:Compound Packaging Inventory,1,3
perfume,134,Inventory Asset:Compound Packaging Inventory,1,3
patikil glass,134,Inventory Asset:Compound Packaging Inventory,1,3
glass sample,134,Inventory Asset:Compound Packaging Inventory,1,3
sample bottles,134,Inventory Asset:Compound Packaging Inventory,1,3
bottles round,134,Inventory Asset:Compound Packaging Inventory,1,3
round bottle,134,Inventory Asset:Compound Packaging Inventory,1,3
bottle dispensing,134,Inventory Asset:Compound Packaging Inventory,1,3
dispensing bottles,134,Inventory Asset:Compound Packaging Inventory,1,3
bottles poly,134,Inventory Asset:Compound Packaging Inventory,1,3
poly cone,134,Inventory Asset:Compound Packaging Inventory,1,3
cone cap,134,Inventory Asset:Compound Packaging Inventory,1,3
cap reagent,134,Inventory Asset:Compound Packaging Inventory,1,3
reagent liquids,134,Inventory Asset:Compound Packaging Inventory,1,3
liquids essential,134,Inventory Asset:Compound Packaging Inventory,1,3
essential oils,134,Inventory Asset:Compound Packaging Inventory,1,3
oils perfume,134,Inventory Asset:Compound Packaging Inventory,1,3
perfume amber,134,Inventory Asset:Compound Packaging Inventory,1,3
samples includes,169,Cost of Goods Sold:Lab Supplies,1,3
printed graduation,169,Cost of Goods Sold:Lab Supplies,1,3
barcodes,213,General & Administrative -:Non-Capital Lab Equipment,1,3
receipts,213,General & Administrative -:Non-Capital Lab Equipment,1,3
wrist,213,General & Administrative -:Non-Capital Lab Equipment,1,3
interface,213,General & Administrative -:Non-Capital Lab Equipment,0.67,3
thermal transfer,213,General & Administrative -:Non-Capital Lab Equipment,1,3
transfer desktop,213,General & Administrative -:Non-Capital Lab Equipment,1,3
tags wrist,213,General & Administrative -:Non-Capital Lab Equipment,1,3
wrist bands,213,General & Administrative -:Non-Capital Lab Equipment,1,3
newtay,134,Inventory Asset:Compound Packaging Inventory,0.67,3
eyeshadow,134,Inventory Asset:Compound Packaging Inventory,0.67,3
newtay silicone,134,Inventory Asset:Compound Packaging Inventory,0.67,3
lip brush,134,Inventory Asset:Compound Packaging Inventory,0.67,3
brush covers,134,Inventory Asset:Compound Packaging Inventory,0.67,3
covers brushes,134,Inventory Asset:Compound Packaging Inventory,0.67,3
brushes lip,134,Inventory Asset:Compound Packaging Inventory,0.67,3
mask eyeshadow,134,Inventory Asset:Compound Packaging Inventory,0.67,3
eyeshadow balm,134,Inventory Asset:Compound Packaging Inventory,0.67,3
products pink,134,Inventory Asset:Compound Packaging Inventory,0.67,3
pink includes,134,Inventory Asset:Compound Packaging Inventory,0.67,3
